Dataset,Indicator,Countries,Flags,Value
Cedefop Skills Forecast,Future employment growth,EU27,,14.57
Cedefop Skills Forecast,Future employment growth,Belgium,,16.46
Cedefop Skills Forecast,Future employment growth,Bulgaria,,17.53
Cedefop Skills Forecast,Future employment growth,Czechia,,17.17
Cedefop Skills Forecast,Future employment growth,Denmark,,28.26
Cedefop Skills Forecast,Future employment growth,Germany,,-9.75
Cedefop Skills Forecast,Future employment growth,Estonia,((u)) low sample size,57.72
Cedefop Skills Forecast,Future employment growth,Ireland,,25.72
Cedefop Skills Forecast,Future employment growth,Greece,,20.01
Cedefop Skills Forecast,Future employment growth,Spain,,31.38
Cedefop Skills Forecast,Future employment growth,France,,14.65
Cedefop Skills Forecast,Future employment growth,Croatia,,31.11
Cedefop Skills Forecast,Future employment growth,Italy,,11.1
Cedefop Skills Forecast,Future employment growth,Cyprus,,29.02
Cedefop Skills Forecast,Future employment growth,Latvia,,30.48
Cedefop Skills Forecast,Future employment growth,Lithuania,,-7.41
Cedefop Skills Forecast,Future employment growth,Luxembourg,,29.12
Cedefop Skills Forecast,Future employment growth,Hungary,,-4.12
Cedefop Skills Forecast,Future employment growth,Malta,((u)) low sample size,54.52
Cedefop Skills Forecast,Future employment growth,Netherlands,,12.94
Cedefop Skills Forecast,Future employment growth,Austria,,20.45
Cedefop Skills Forecast,Future employment growth,Poland,,31.51
Cedefop Skills Forecast,Future employment growth,Portugal,,26.26
Cedefop Skills Forecast,Future employment growth,Romania,((u)) low sample size,51.86
Cedefop Skills Forecast,Future employment growth,Slovenia,((u)) low sample size,47.03
Cedefop Skills Forecast,Future employment growth,Slovakia,,22.12
Cedefop Skills Forecast,Future employment growth,Finland,,23.98
Cedefop Skills Forecast,Future employment growth,Sweden,,26.49
Cedefop Skills Forecast,Future employment growth,Iceland,,19.48
Cedefop Skills Forecast,Future employment growth,Norway,((u)) low sample size,49.42
