,Country_Name,IMF,Country_ID
0,Austria,56802,1
1,Belgium,53377,2
2,Bulgaria,14893,3
3,Croatia,20537,4
4,Cyprus,33807,5
5,Denmark,68827,7
6,Estonia,31209,8
7,Finland,54351,9
8,France,44408,10
9,Germany,51383,11
10,Greece,22595,12
11,Hungary,19385,13
12,Ireland,114581,15
13,Italy,36812,16
14,Latvia,25136,17
15,Lithuania,28094,18
16,Luxembourg,132372,19
17,Malta,36989,20
18,Netherlands,61098,21
19,Poland,19912,23
20,Portugal,26012,24
21,Romania,18530,25
22,Slovakia,23457,26
23,Slovenia,32214,27
24,Spain,31223,28
25,Sweden,55395,29
