,Country_Name,Value,Country_ID
0,Austria,11.7,1
1,Belgium,12.3,2
2,Bulgaria,16.9,3
3,Croatia,20.8,4
4,Cyprus,29.1,5
5,Czechia,1.5,6
6,Denmark,13.0,7
7,Estonia,36.7,8
8,Finland,22.2,9
9,France,10.7,10
10,Germany,-1.3,11
11,Greece,16.5,12
12,Hungary,0.2,13
13,Iceland,13.5,14
14,Ireland,26.4,15
15,Italy,2.4,16
16,Latvia,29.0,17
17,Lithuania,9.6,18
18,Luxembourg,19.8,19
19,Malta,46.9,20
20,Netherlands,9.1,21
21,Norway,40.7,22
22,Poland,13.2,23
23,Portugal,19.1,24
24,Romania,55.9,25
25,Slovakia,21.8,26
26,Slovenia,31.5,27
27,Spain,33.3,28
28,Sweden,22.0,29
